Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
10/09/2022,20:00,Excelsior,FC Emmen,2,1,H,3.12,3.58,2.19,1.68,2.16,1497.630354980791,1460.0846496408528,37.545705339938195,1.6,3.2,2,0,3,1.0,2.8,1,1,3,0,0,0,0.0,0.0
11/09/2022,11:15,Utrecht,Vitesse,1,0,H,1.91,3.77,3.74,1.63,2.25,1499.698964644431,1460.9284427100185,38.7705219344125,1.6,2.0,1,2,2,1.2,2.8,1,1,3,0,0,0,0.0,0.0
11/09/2022,13:30,Cambuur,Groningen,0,1,A,2.15,3.61,3.16,1.71,2.12,1459.60884864671,1497.8880206242925,-38.279171977582564,0.8,1.6,1,1,3,1.0,2.0,1,2,2,0,0,0,0.0,0.0
11/09/2022,13:30,PSV Eindhoven,Waalwijk,1,0,H,1.16,7.76,15.76,1.31,3.34,1553.8246676967008,1486.2242777664744,67.60038993022636,4.6,1.4,4,0,1,2.0,1.6,1,3,1,0,0,0,0.0,0.0
11/09/2022,15:45,AZ Alkmaar,Twente,1,1,D,2.09,3.52,3.4,1.76,2.05,1553.493771057336,1543.6428702190021,9.850900838333928,2.0,0.6,4,1,0,2.0,0.4,4,0,1,0,0,0,0.0,0.0
11/09/2022,19:00,Feyenoord,Sparta Rotterdam,3,0,H,1.27,5.85,10.13,1.46,2.66,1566.1188969028944,1489.1076198803719,77.01127702252256,2.8,1.0,4,1,0,1.4,0.8,2,1,2,0,0,0,0.0,0.0
16/09/2022,19:00,Utrecht,Nijmegen,0,0,D,1.69,3.98,4.7,1.68,2.17,1499.7290213962106,1500.3650945013094,-0.6360731050988306,1.4,1.6,2,1,2,1.4,0.8,1,4,0,0,0,0,0.0,0.0
17/09/2022,15:30,Sparta Rotterdam,Groningen,2,1,H,2.18,3.35,3.35,2.04,1.76,1504.4866195703412,1482.5090209343232,21.977598636018,1.4,1.4,2,0,3,0.8,1.6,2,1,2,0,0,0,0.0,0.0
17/09/2022,17:45,Vitesse,Volendam,1,1,D,1.46,4.87,6.03,1.4,2.86,1460.7267151529002,1456.4573997493817,4.269315403518476,0.8,2.0,1,1,3,1.0,3.6,1,0,4,0,0,0,0.0,0.0
17/09/2022,19:00,Waalwijk,Cambuur,5,1,H,2.15,3.62,3.16,1.67,2.18,1500.0774398064652,1445.755686606719,54.32175319974613,1.6,1.4,1,2,2,0.8,1.4,1,1,3,0,0,0,0.0,0.0
17/09/2022,20:00,For Sittard,Excelsior,1,0,H,1.81,4.07,3.87,1.5,2.49,1451.3663856374978,1479.8982509949076,-28.531865357409743,1.2,2.8,0,1,4,1.6,3.4,2,0,3,0,0,0,0.0,0.0
18/09/2022,11:15,Go Ahead Eagles,FC Emmen,2,0,H,2.42,3.41,2.85,1.82,1.97,1464.0542889386707,1444.5871337606252,19.46715517804546,1.6,2.6,1,0,4,1.0,2.4,1,1,3,0,0,0,0.0,0.0
18/09/2022,13:30,Heerenveen,Twente,2,1,H,2.86,3.37,2.43,1.87,1.92,1528.973064983333,1527.3078252864157,1.665239696917297,1.2,1.2,2,2,1,2.0,0.6,3,1,1,0,0,0,0.0,0.0
18/09/2022,13:30,PSV Eindhoven,Feyenoord,4,3,H,1.87,3.95,3.75,1.5,2.52,1569.3552308100539,1550.5883337895414,18.766897020512488,4.0,1.2,4,0,1,2.4,0.6,4,1,0,0,0,0,0.0,0.0
18/09/2022,15:45,AZ Alkmaar,Ajax,2,1,H,4.55,4.17,1.67,1.58,2.33,1569.6474554150732,1564.1150326662312,5.532422748842009,1.8,0.8,3,2,0,3.6,0.2,5,0,0,0,0,0,0.0,0.0
01/10/2022,15:30,Cambuur,PSV Eindhoven,3,0,H,8.89,6.04,1.28,1.36,3.04,1465.8776368372432,1549.2332805795297,-83.35564374228647,1.0,2.4,1,0,4,3.8,1.4,4,0,1,0,0,0,0.0,0.0
01/10/2022,17:45,Groningen,AZ Alkmaar,1,4,A,4.72,3.72,1.73,1.88,1.9,1471.1941433241645,1580.9623330252318,-109.76818970106729,0.8,0.8,2,1,2,1.6,0.6,3,2,0,0,0,0,0.0,0.0
01/10/2022,19:00,Ajax,Go Ahead Eagles,1,1,D,1.08,11.29,25.19,1.22,4.03,1559.9106660693335,1468.2586555355683,91.65201053376518,2.6,0.4,4,0,1,1.6,1.6,2,0,3,0,0,0,0.0,0.0
01/10/2022,20:00,Twente,Vitesse,3,0,H,1.7,3.89,4.73,1.73,2.09,1539.467966810651,1448.5665736286649,90.90139318198612,1.6,1.0,2,1,2,0.8,1.6,1,2,2,0,0,0,0.0,0.0
02/10/2022,11:15,For Sittard,Volendam,2,0,H,1.79,4.09,3.93,1.47,2.62,1466.5861666552576,1441.237618731622,25.34854792363558,1.4,2.2,1,1,3,1.0,3.0,1,1,3,0,0,0,0.0,0.0
02/10/2022,13:30,Nijmegen,Feyenoord,1,1,D,5.23,4.27,1.58,1.58,2.36,1502.5184282856528,1548.435000005198,-45.91657171954512,0.6,0.6,0,5,0,3.0,1.4,4,0,1,0,0,0,0.0,0.0
02/10/2022,13:30,Excelsior,Utrecht,0,1,A,4.65,4.27,1.64,1.47,2.63,1465.753485636373,1513.8737867547452,-48.120301118372254,1.0,3.4,1,0,4,1.4,1.6,2,1,2,0,0,0,0.0,0.0
02/10/2022,15:45,Waalwijk,Sparta Rotterdam,2,2,D,2.2,3.37,3.26,1.9,1.88,1500.267789180275,1504.2962701965314,-4.0284810162563645,2.4,1.4,2,1,2,1.4,1.0,3,0,2,0,0,0,0.0,0.0
02/10/2022,19:00,FC Emmen,Heerenveen,0,0,D,2.9,3.33,2.41,1.93,1.86,1448.160378048987,1525.3998206949711,-77.23944264598413,0.8,2.6,1,0,4,1.6,1.4,3,1,1,0,0,0,0.0,0.0
