HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Crystal Palace,Brighton,1,1,D,2.55,3.22,2.91,2.18,1.69
Everton,Arsenal,0,0,D,2.33,3.75,2.9,1.57,2.4
Aston Villa,Southampton,1,3,A,2.43,3.54,2.87,1.62,2.31
Bournemouth,Burnley,0,1,A,2.43,3.38,2.97,1.92,1.9
Brighton,Sheffield United,0,1,A,2.21,3.27,3.52,2.11,1.73
Newcastle,Crystal Palace,1,0,H,2.43,3.11,3.22,2.44,1.56
Norwich,Wolves,1,2,A,3.71,3.75,1.97,1.79,2.04
Man City,Leicester,3,1,H,1.37,5.41,7.72,1.42,2.86
Watford,Man United,2,0,H,4.39,3.89,1.8,1.85,1.97
Tottenham,Chelsea,0,2,A,2.37,3.65,2.88,1.59,2.37
Tottenham,Brighton,2,1,H,1.55,4.41,5.73,1.6,2.35
Aston Villa,Norwich,1,0,H,2.11,3.77,3.28,1.52,2.51
Bournemouth,Arsenal,1,1,D,3.5,3.85,2.01,1.55,2.43
Chelsea,Southampton,0,2,A,1.35,5.31,8.58,1.49,2.62
Crystal Palace,West Ham,2,1,H,2.32,3.42,3.12,1.9,1.92
Everton,Burnley,1,0,H,1.71,3.76,5.15,1.93,1.89
Sheffield United,Watford,1,1,D,1.86,3.54,4.46,2.11,1.74
Man United,Newcastle,4,1,H,1.35,5.19,9.18,1.72,2.13
Leicester,Liverpool,0,4,A,3.38,3.72,2.08,1.64,2.27
Wolves,Man City,3,2,H,7.73,4.95,1.4,1.56,2.41
Brighton,Bournemouth,2,0,H,1.79,3.85,4.43,1.92,1.91
Newcastle,Everton,1,2,A,3.55,3.4,2.14,2.06,1.77
Southampton,Crystal Palace,1,1,D,1.98,3.57,3.91,2.04,1.78
Watford,Aston Villa,3,0,H,1.99,3.77,3.65,1.7,2.18
Norwich,Tottenham,2,2,D,4.93,4.07,1.69,1.6,2.35
West Ham,Leicester,1,2,A,4.03,3.87,1.86,1.61,2.32
Burnley,Man United,0,2,A,4.31,3.7,1.85,1.95,1.87
Arsenal,Chelsea,1,2,A,2.86,3.73,2.35,1.53,2.48
Liverpool,Wolves,1,0,H,1.28,5.84,10.92,1.55,2.43
Man City,Sheffield United,2,0,H,1.18,7.62,14.91,1.38,3.0
Brighton,Chelsea,1,1,D,3.7,3.64,2.01,1.7,2.15
Burnley,Aston Villa,1,2,A,1.81,3.81,4.37,1.87,1.94
Newcastle,Leicester,0,3,A,5.26,3.9,1.67,1.94,1.87
Southampton,Tottenham,1,0,H,3.34,3.54,2.16,1.66,2.23
Watford,Wolves,2,1,H,3.16,3.37,2.32,2.0,1.82
Man City,Everton,2,1,H,1.27,6.19,10.49,1.37,3.09
Norwich,Crystal Palace,1,1,D,2.53,3.46,2.77,1.88,1.94
West Ham,Bournemouth,4,0,H,1.95,3.84,3.68,1.67,2.22
Arsenal,Man United,2,0,H,2.58,3.64,2.61,1.64,2.26
Monaco,Lyon,0,3,A,2.89,3.4,2.43,1.9,1.9
Marseille,Reims,0,2,A,1.65,3.71,5.67,2.07,1.76
Angers,Bordeaux,3,1,H,2.35,3.14,3.24,2.42,1.56
Brest,Toulouse,1,1,D,2.38,3.23,3.09,2.14,1.71
Dijon,St Etienne,1,2,A,3.57,3.34,2.11,2.05,1.77
Montpellier,Rennes,0,1,A,2.3,3.18,3.3,2.28,1.62
Nice,Amiens,2,1,H,2.18,2.98,3.87,2.56,1.5
Lille,Nantes,2,1,H,1.95,3.19,4.43,2.35,1.58
Strasbourg,Metz,1,1,D,2.05,3.23,3.9,2.29,1.61
Paris SG,Nimes,3,0,H,1.1,9.77,23.32,1.31,3.4
Lyon,Angers,6,0,H,1.5,4.45,6.4,1.6,2.34
Nantes,Marseille,0,0,D,2.58,3.16,2.88,2.11,1.73
Amiens,Lille,1,0,H,3.25,3.09,2.38,2.52,1.52
Bordeaux,Montpellier,1,1,D,2.7,2.98,2.9,2.52,1.52
Metz,Monaco,3,0,H,2.98,3.1,2.55,2.4,1.56
Nimes,Nice,1,2,A,2.16,3.33,3.46,2.07,1.76
Toulouse,Dijon,1,0,H,2.0,3.42,3.87,2.09,1.75
St Etienne,Brest,1,1,D,1.63,3.9,5.49,1.81,2.0
Reims,Strasbourg,0,0,D,2.04,3.22,4.0,2.42,1.56
Rennes,Paris SG,2,1,H,7.83,5.35,1.36,1.42,2.8
Amiens,Nantes,1,2,A,2.7,3.0,2.86,2.66,1.47
Angers,Metz,3,0,H,2.12,3.18,3.78,2.38,1.58
Brest,Reims,1,0,H,2.67,3.05,2.85,2.38,1.58
Dijon,Bordeaux,0,2,A,2.64,3.21,2.76,2.24,1.65
Monaco,Nimes,2,2,D,1.62,4.0,5.42,1.84,1.97
Strasbourg,Rennes,0,2,A,2.67,3.1,2.81,2.31,1.62
Paris SG,Toulouse,4,0,H,1.1,10.12,22.7,1.24,3.93
Montpellier,Lyon,1,0,H,3.56,3.47,2.07,1.89,1.91
Lille,St Etienne,3,0,H,2.24,3.35,3.25,1.97,1.83
Nice,Marseille,1,2,A,3.0,3.22,2.44,2.09,1.73
Metz,Paris SG,0,2,A,7.6,4.65,1.43,1.75,2.09
Lyon,Bordeaux,1,1,D,1.39,4.88,8.01,1.6,2.33
Angers,Dijon,2,0,H,1.71,3.74,5.04,2.1,1.74
Nantes,Montpellier,1,0,H,2.23,3.1,3.57,2.38,1.58
Nimes,Brest,3,0,H,2.08,3.32,3.71,1.91,1.9
Toulouse,Amiens,2,0,H,2.14,3.15,3.75,2.45,1.55
Reims,Lille,2,0,H,2.88,2.98,2.71,2.64,1.48
Rennes,Nice,1,2,A,1.71,3.56,5.42,2.31,1.61
Strasbourg,Monaco,2,2,D,2.64,3.21,2.77,2.15,1.7
