Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-09-30 00:00:00,Heidenheim,Union Berlin,1,0,H,3.07,3.65,2.27,1.78,2.07,1474.86,1483.9,-9.04,1.8,2.6,1,1,3,1.8,1.8,2,0,3,0,0,0,0.0,0.0
2023-09-30 00:00:00,Mainz,Leverkusen,0,3,A,5.65,4.64,1.54,1.54,2.48,1443.17,1554.57,-111.39,0.8,2.8,0,1,4,3.4,1.2,4,1,0,0,0,0,0.0,0.0
2023-09-30 00:00:00,Wolfsburg,Ein Frankfurt,2,0,H,2.11,3.55,3.51,1.92,1.91,1512.45,1510.2,2.24,1.4,1.2,3,0,2,0.8,0.6,1,4,0,0,0,0,0.0,0.0
2023-09-30 00:00:00,RB Leipzig,Bayern Munich,2,2,D,3.56,4.21,1.93,1.4,2.96,1543.57,1555.09,-11.52,2.8,0.8,4,0,1,3.6,0.8,4,1,0,0,0,0,0.0,0.0
2023-10-01 00:00:00,Freiburg,Augsburg,2,0,H,1.72,4.13,4.59,1.65,2.26,1497.97,1486.42,11.55,1.0,2.0,2,1,2,1.8,2.6,1,2,2,0,0,0,0.0,0.0
2023-10-01 00:00:00,Darmstadt,Werder Bremen,4,2,H,2.8,3.7,2.42,1.68,2.22,1447.3,1485.8,-38.5,1.2,3.2,0,1,4,1.6,2.0,2,0,3,0,0,0,0.0,0.0
2023-10-06 00:00:00,M'gladbach,Mainz,2,2,D,2.06,3.87,3.42,1.58,2.42,1475.12,1432.83,42.29,1.4,2.0,1,1,3,0.6,2.6,0,1,4,0,0,0,0.0,0.0
2023-10-07 00:00:00,Werder Bremen,Hoffenheim,2,3,A,2.75,3.9,2.38,1.46,2.71,1469.15,1527.96,-58.82,2.0,2.0,2,0,3,2.4,1.4,4,0,1,0,0,0,0.0,0.0
2023-10-07 00:00:00,Stuttgart,Wolfsburg,3,1,H,2.0,3.76,3.64,1.67,2.23,1551.18,1527.35,23.83,2.8,1.4,4,0,1,1.4,1.2,3,0,2,0,0,0,0.0,0.0
2023-10-07 00:00:00,RB Leipzig,Bochum,0,0,D,1.24,6.81,11.15,1.35,3.21,1544.07,1459.07,85.0,2.8,0.6,4,1,0,1.0,2.8,0,3,2,0,0,0,0.0,0.0
2023-10-07 00:00:00,Dortmund,Union Berlin,4,2,H,1.61,4.38,5.31,1.63,2.31,1556.93,1468.51,88.43,2.2,1.2,3,2,0,1.0,1.8,1,0,4,0,0,0,0.0,0.0
2023-10-07 00:00:00,Augsburg,Darmstadt,1,2,A,1.9,3.87,3.95,1.69,2.21,1471.92,1463.95,7.96,1.0,2.2,1,1,3,2.0,3.4,1,1,3,0,0,0,0.0,0.0
2023-10-08 00:00:00,Leverkusen,FC Koln,3,0,H,1.34,5.58,8.69,1.48,2.65,1564.92,1434.45,130.47,3.4,0.8,4,1,0,0.8,2.0,0,1,4,0,0,0,0.0,0.0
2023-10-08 00:00:00,Bayern Munich,Freiburg,3,0,H,1.16,8.73,15.05,1.28,3.69,1554.59,1512.47,42.12,3.2,1.2,3,2,0,1.0,1.8,2,1,2,0,0,0,0.0,0.0
2023-10-08 00:00:00,Ein Frankfurt,Heidenheim,2,0,H,1.73,4.07,4.63,1.7,2.17,1495.3,1490.25,5.06,0.6,1.0,0,4,1,2.0,2.2,2,1,2,0,0,0,0.0,0.0
2023-10-20 00:00:00,Dortmund,Werder Bremen,1,0,H,1.3,6.52,8.74,1.27,3.76,1568.19,1456.66,111.53,2.8,1.4,4,1,0,2.4,2.4,2,0,3,0,0,0,0.0,0.0
2023-10-21 00:00:00,Darmstadt,RB Leipzig,1,3,A,6.54,4.92,1.46,1.51,2.54,1479.3,1540.47,-61.18,2.2,2.8,2,1,2,1.8,0.4,3,2,0,0,0,0,0.0,0.0
2023-10-21 00:00:00,Freiburg,Bochum,2,1,H,1.73,3.98,4.69,1.71,2.16,1499.28,1462.67,36.61,0.8,2.4,1,1,3,0.8,2.6,0,3,2,0,0,0,0.0,0.0
2023-10-21 00:00:00,Hoffenheim,Ein Frankfurt,1,3,A,2.12,3.67,3.37,1.69,2.21,1540.45,1510.08,30.37,2.4,1.4,4,0,1,0.8,0.8,1,3,1,0,0,0,0.0,0.0
2023-10-21 00:00:00,Union Berlin,Stuttgart,0,3,A,2.54,3.54,2.75,1.8,2.04,1457.24,1565.15,-107.91,0.6,2.4,0,0,5,3.2,0.6,5,0,0,0,0,0,0.0,0.0
2023-10-21 00:00:00,Wolfsburg,Leverkusen,1,2,A,4.47,4.12,1.75,1.55,2.48,1513.38,1574.53,-61.16,1.2,1.6,2,0,3,3.4,0.8,4,1,0,0,0,0,0.0,0.0
2023-10-21 00:00:00,Mainz,Bayern Munich,1,3,A,9.77,6.53,1.28,1.29,3.58,1434.64,1567.78,-133.14,0.8,2.8,0,1,4,3.2,1.0,3,2,0,0,0,0,0.0,0.0
2023-10-22 00:00:00,Heidenheim,Augsburg,2,5,A,2.4,3.62,2.87,1.71,2.17,1475.46,1456.57,18.89,1.6,2.0,2,1,2,1.0,2.0,1,1,3,0,0,0,0.0,0.0
2023-10-22 00:00:00,FC Koln,M'gladbach,3,1,H,2.38,3.72,2.86,1.59,2.39,1424.83,1473.3,-48.47,0.6,2.2,0,1,4,1.8,1.8,1,2,2,0,0,0,0.0,0.0
